,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,6,US,1666412740,72,42.6001,-73.9662,46.81,3.31
1,yar-sale,100,RU,1666412740,98,66.8333,70.8333,30.04,3.47
2,punta arenas,98,CL,1666412601,69,-53.15,-70.9167,46.11,28.05
3,sitka,100,US,1666412741,87,57.0531,-135.33,42.69,5.75
4,vardo,75,NO,1666412741,93,70.3705,31.1107,33.78,23.02
5,isangel,100,VU,1666412742,74,-19.55,169.2667,76.01,17.54
6,esperance,68,AU,1666412742,67,-33.8667,121.9,62.44,13.85
7,ostrovnoy,100,RU,1666412742,85,68.0531,39.5131,31.28,16.33
8,lebu,0,CL,1666412743,84,-37.6167,-73.65,46.54,11.7
9,provideniya,91,RU,1666412743,90,64.3833,-173.3,32.16,7.2
10,kapaa,40,US,1666412743,79,22.0752,-159.319,82.38,8.05
11,caconda,100,AO,1666412744,79,-13.7333,15.0667,61.34,1.5
12,karratha,2,AU,1666412744,32,-20.7377,116.8463,88.74,16.82
13,yara,100,CU,1666412744,92,20.2753,-76.9533,73.45,3.87
14,bluff,68,NZ,1666412745,67,-46.6,168.3333,56.8,3.09
15,malanje,100,AO,1666412745,98,-9.5402,16.341,63.48,1.63
16,mataura,34,NZ,1666412746,33,-46.1927,168.8643,56.48,1.97
17,ancud,0,CL,1666412746,88,-41.8697,-73.8203,40.77,5.17
18,luderitz,3,NA,1666412746,79,-26.6481,15.1594,59.04,18.79
19,andros town,8,BS,1666412747,75,24.7,-77.7667,78.44,5.32
20,horki,100,BY,1666412747,90,54.2861,30.9842,37.71,6.38
21,riyadh,0,SA,1666412711,16,24.6877,46.7219,69.94,5.37
22,busselton,1,AU,1666412594,48,-33.65,115.3333,66.67,5.19
23,nemuro,98,JP,1666412747,82,43.3236,145.575,61.43,23.35
24,chokurdakh,99,RU,1666412748,95,70.6333,147.9167,11.3,10.27
25,aloleng,100,PH,1666412748,74,16.1307,119.7824,83.34,5.23
26,bonthe,41,SL,1666412748,87,7.5264,-12.505,76.19,3.62
27,bukene,84,TZ,1666412749,44,-4.2333,32.8833,65.41,4.9
28,college,100,US,1666412749,94,64.8569,-147.8028,34.59,5.75
29,hermanus,0,ZA,1666412749,84,-34.4187,19.2345,54.81,10.54
30,grindavik,0,IS,1666412750,86,63.8424,-22.4338,34.27,8.05
31,ballina,100,AU,1666412750,92,-28.8667,153.5667,70.02,14.65
32,bandarbeyla,69,SO,1666412750,80,9.4942,50.8122,78.67,8.03
33,borogontsy,94,RU,1666412751,84,62.6683,131.1683,17.44,2.17
34,georgetown,40,MY,1666412736,80,5.4112,100.3354,84.15,3.44
35,kathmandu,20,NP,1666412710,64,27.7167,85.3167,68.22,3.44
36,tuktoyaktuk,75,CA,1666412751,86,69.4541,-133.0374,19.4,4.61
37,bengkulu,100,ID,1666412752,76,-3.8004,102.2655,80.71,5.7
38,iranshahr,0,IR,1666412752,22,27.2025,60.6848,77.34,6.91
39,luba,90,GQ,1666412752,82,3.4568,8.5547,75.09,1.12
40,yushu,82,CN,1666412753,50,44.8,126.5333,46.04,5.86
41,maldonado,90,UY,1666412753,94,-34.6667,-54.9167,56.59,4.45
42,rikitea,90,PF,1666412753,77,-23.1203,-134.9692,71.1,21.3
43,santa isabel do rio negro,56,BR,1666412754,94,-0.4139,-65.0192,74.77,2.01
44,menongue,92,AO,1666412754,60,-14.6585,17.691,66.85,2.19
45,qaqortoq,100,GL,1666412755,98,60.7167,-46.0333,37.31,2.82
